Gene	LFC	p.value	FDR	B
ENSG00000000003	-0.549424942376247	1.06770787590727e-17	1.95372993626825e-17	Inf
ENSG00000000419	0.578975975869808	8.51187773909443e-47	3.10721105663689e-46	Inf
ENSG00000000457	-0.00816973926459837	0.848095650224045	0.857276097586621	-1.79284802265766
ENSG00000000460	2.74086743242218	6.51630326944581e-168	5.18225129241531e-166	Inf
ENSG00000000938	-0.348168984116557	1.66812262134995e-15	2.88843244663466e-15	33.4787040316556
ENSG00000000971	-1.59419818377489	9.39866894200085e-71	6.38968221073369e-70	Inf
ENSG00000001036	0.344422830619485	6.99674189675427e-14	1.16269623666615e-13	29.7831163588064
ENSG00000001084	-0.143258531982499	0.00889240189626154	0.0104116344480254	4.55436518649355
ENSG00000001167	0.873157366400543	1.36128538360741e-47	5.06249862341565e-47	Inf
ENSG00000001460	0.0434480482161391	0.306277961534067	0.325314978736632	0.72945206846337
ENSG00000001461	-0.18522587055404	0.00024713289857109	0.000309643488046914	8.07977926940757
ENSG00000001497	0.35576415700293	1.31390718047075e-27	3.02681720995283e-27	Inf
ENSG00000001561	-0.953452732273342	1.11012797994911e-39	3.42820404987911e-39	Inf
ENSG00000001617	-0.166364717597977	0.000600964577773642	0.000741485065100647	7.20611377795715
ENSG00000001629	0.815353881679301	8.34566634941548e-62	4.41987467037832e-61	Inf
ENSG00000001630	0.149856629867328	0.0174788832685284	0.0201761987741191	3.88286912964983
ENSG00000001631	0.124558297577703	0.000211565141528556	0.000265700117872826	8.23287652614482
ENSG00000002016	-0.0433465243935072	0.296683223312228	0.315563857600029	0.774234286738535
ENSG00000002330	0.0200469019775107	0.57479298764145	0.593236858465656	-0.377362689100924
ENSG00000002549	0.232540261677216	6.42101502924037e-10	9.58121356012629e-10	20.7660466644086
ENSG00000002586	0.0763472338920449	0.0999942811576418	0.110154290697596	2.08916606164973
ENSG00000002587	0.0683691937039423	0.362876565128006	0.382595819031379	0.478544754774719
ENSG00000002726	2.02482282849704	1.38039882196687e-40	4.35671446776025e-40	Inf
