Gene	LFC	p.value	FDR	B
ENSG00000000003	-1.394064256123	7.20321610905056e-50	3.6749858992738e-49	Inf
ENSG00000000419	0.610317921358273	2.08153711786915e-31	6.01240635482699e-31	Inf
ENSG00000000457	0.460405441533208	9.98875419072041e-19	2.01304968193382e-18	Inf
ENSG00000000460	2.07678290066529	3.31963620393999e-111	1.6800144900639e-109	Inf
ENSG00000000938	-0.635178032496486	1.10950553118181e-33	3.42336027676945e-33	Inf
ENSG00000000971	-1.13036733743522	6.80483826057412e-34	2.11222880084816e-33	Inf
ENSG00000001036	0.409495221926385	3.05796287450792e-15	5.53815748819165e-15	32.8247775642489
ENSG00000001084	-0.315910284362344	1.84870017343922e-08	2.70885668256319e-08	17.424154059033
ENSG00000001167	0.465068979296685	1.54893816793493e-23	3.57337122134048e-23	Inf
ENSG00000001460	-0.376051793179257	3.13465848135135e-14	5.52564204835946e-14	30.5262004926524
ENSG00000001461	-1.06184124201487	1.32697124276351e-51	7.21509457842188e-51	Inf
ENSG00000001497	0.294407396917435	8.5382944878587e-14	1.48519738513721e-13	29.5378693289888
ENSG00000001561	-1.16513226661732	1.14316183039924e-44	4.9480036881575e-44	Inf
ENSG00000001617	0.71213492548833	1.60731442364114e-35	5.22323057202106e-35	Inf
ENSG00000001629	0.718689825071177	2.90656740794948e-54	1.72699739994502e-53	Inf
ENSG00000001630	0.677762227175217	3.12528043329138e-20	6.5863874477955e-20	Inf
ENSG00000001631	-0.150390914238243	2.40095263742208e-06	3.28090903267062e-06	12.6273867489423
ENSG00000002016	-0.457821619553396	3.82789235047506e-25	9.23569159539525e-25	Inf
ENSG00000002330	0.0993687998579032	0.0143923492645066	0.0166305974177287	4.07974062392887
ENSG00000002549	0.108382453175537	0.00136699292200671	0.00166766674871626	6.39466072709114
ENSG00000002586	0.485476570561581	1.87006023942196e-24	4.4191431682275e-24	Inf
ENSG00000002587	-0.481393853199128	2.31943919049381e-08	3.39140952047757e-08	17.1994350874859
ENSG00000002726	1.25180121735048	8.45749807736177e-15	1.51464770071436e-14	31.824145683941
ENSG00000002746	-0.387491906274893	0.00084298295875882	0.0010384115187298	6.86902416826689
ENSG00000002822	0.704833008962464	1.51284159695833e-57	1.00767921189024e-56	Inf
ENSG00000002834	0.917528819492551	3.31219901120945e-19	6.76365243908656e-19	Inf
ENSG00000002919	-0.0347199856705499	0.621438176460082	0.638374461751826	-0.568315790103396
ENSG00000002933	-0.651086687187715	1.24342454744815e-15	2.27929671982834e-15	33.6922781319537
ENSG00000003056	-0.158031031324023	3.72870964868406e-05	4.86517113991284e-05	9.93077491927359
ENSG00000003096	-2.86817493457138	1.10227050041065e-60	8.19428003232857e-60	Inf
ENSG00000003137	-2.28345891764458	1.72576594041841e-58	1.18438768239052e-57	Inf
ENSG00000003147	1.17317665649986	9.990739163661e-46	4.46176978262355e-45	Inf
ENSG00000003249	1.66356172811252	1.47690632680536e-71	1.60486052358715e-70	Inf
ENSG00000003393	-0.0121045858688852	0.706392167984022	0.720479193813031	-0.94683980702941
ENSG00000003400	-0.640589529673207	2.05457040169605e-16	3.84557765345256e-16	35.638188281009
ENSG00000003402	-0.913450002502996	2.75465060657412e-81	4.30570333472504e-80	Inf
ENSG00000003436	-1.75931759659068	4.39253131274028e-39	1.60023906923239e-38	Inf
ENSG00000003509	-0.330612444546068	9.59887665966455e-17	1.81234203981196e-16	36.0436533891172
ENSG00000003756	-0.906276019157743	5.02631202282952e-88	1.00623568766853e-86	Inf
ENSG00000003987	-0.200941026477654	0.0245867154117143	0.0280122889538061	3.54669985632593
ENSG00000004059	0.416795837209221	7.09889512793125e-34	2.20161577205222e-33	Inf
ENSG00000004139	-1.06398752047851	2.5401652315444e-30	7.11974275007235e-30	Inf
ENSG00000004142	0.420271112445283	3.85801008657742e-11	6.18050226819276e-11	23.5070367586013
ENSG00000004399	0.0465889947909066	0.306253586649278	0.323673925751124	0.736938711074797
ENSG00000004455	0.0706474896731049	0.0173358202609304	0.0199315801458977	3.89531696953175
ENSG00000004478	1.07113394274037	3.19681154924042e-57	2.10992477718677e-56	Inf
ENSG00000004487	0.541243248157985	5.87697347295782e-47	2.72115527983338e-46	Inf
ENSG00000004534	-0.236885593801842	4.74695578334615e-12	7.80411608452433e-12	25.5763730700858
ENSG00000004660	0.0191169002701187	0.761220724137438	0.773620893214806	-1.22887089399661
ENSG00000004700	0.0444471136671194	0.224764683034624	0.240287784959436	1.15110238815995
ENSG00000004766	0.190367754709196	2.35268456270694e-05	3.09317434468346e-05	10.3836966731327
ENSG00000004777	-0.226478282125356	1.08405904376889e-06	1.49820210059304e-06	13.4112432701461
ENSG00000004779	0.5815577606603	9.75726401637177e-51	5.14486846531749e-50	Inf
ENSG00000004838	0.488570785819569	4.8996123230359e-11	7.82143914896014e-11	23.2715668954523
ENSG00000004846	-3.93409870039336	2.71954172530079e-77	3.60794197360254e-76	Inf
ENSG00000004864	1.15343510149381	5.47701568581138e-63	4.40902808878943e-62	Inf
ENSG00000004866	0.562569038524262	6.05483643387213e-30	1.67791886930625e-29	Inf
ENSG00000004897	-0.115003820394915	0.0229809557832902	0.0262406401078686	3.61385485121838
ENSG00000004948	-1.4568210753378	9.09319430782301e-21	1.9461022388205e-20	Inf
ENSG00000004961	0.293314215414683	9.91713710564009e-12	1.61644867643057e-11	24.8482027595241
ENSG00000004975	-0.606136012651373	1.54945762062284e-56	1.00209336911953e-55	Inf
ENSG00000005001	1.21423916726118	2.09320153821342e-28	5.55704311520563e-28	Inf
ENSG00000005007	0.269132814598219	2.96916116450291e-13	5.08286678829273e-13	28.3077830691641
ENSG00000005020	-0.970406519421852	5.3097888192929e-43	2.17101365453236e-42	Inf
ENSG00000005022	0.654211802100135	4.12446493273685e-40	1.55058455679047e-39	Inf
ENSG00000005059	1.15019848198992	1.18521118947263e-48	5.79356526728365e-48	Inf
ENSG00000005075	0.380741874461863	1.05627567235875e-28	2.82911437485575e-28	Inf
ENSG00000005100	-0.419466500497779	3.42394923098336e-35	1.10202893416173e-34	Inf
ENSG00000005102	-4.6327899200345	1.71345954821757e-120	1.2916986198386e-118	Inf
ENSG00000005108	-1.18038631507723	1.13149662313181e-54	6.83525965075536e-54	Inf
ENSG00000005156	0.617536866767167	1.27672666024969e-19	2.64519634704466e-19	Inf
ENSG00000005175	0.536657782954787	1.60898627241791e-40	6.12693167771028e-40	Inf
ENSG00000005189	1.00115798866897	2.86501815525224e-36	9.53293627106229e-36	Inf
ENSG00000005194	0.471313730591711	6.27181364893883e-35	2.00614874596112e-34	Inf
