Gene	LFC	p.value	FDR	B
ENSG00000000003	-1.04288860246519	1.96847246497106e-31	4.94904819489164e-31	Inf
ENSG00000000419	0.148388664098623	4.25774943600083e-08	6.04123765676659e-08	16.6220717828866
ENSG00000000457	0.668369216826436	2.19807468852576e-81	1.87477507611797e-80	Inf
ENSG00000000460	1.41272324382184	6.3644688209963e-126	2.21974269193013e-124	Inf
ENSG00000000938	-0.771756552296718	2.78008347178652e-49	1.06024055283697e-48	Inf
ENSG00000000971	-1.45402443045983	3.69803115351605e-71	2.39486813941796e-70	Inf
ENSG00000001036	0.0307636183752493	0.388865462540908	0.40785787716066	0.372827905007909
ENSG00000001084	0.0208924659565383	0.707969223355616	0.722444059422531	-0.956617490047228
ENSG00000001167	0.459471386693275	3.35719623516045e-35	9.18738537205288e-35	Inf
ENSG00000001460	-0.00763888530338205	0.8291729980129	0.838265696251918	-1.64538022172071
ENSG00000001461	-0.0516853232198269	0.210740686945439	0.225928501803443	1.23144565873722
ENSG00000001497	0.240304793968351	4.04547633746856e-25	8.82106425256402e-25	Inf
ENSG00000001561	0.0172664709010968	0.790075435146239	0.801370136531651	-1.39487982314659
ENSG00000001617	1.19036801345973	3.33074283233841e-92	3.81100171978389e-91	Inf
ENSG00000001629	0.55182270155675	3.25114166897061e-69	1.99732701683704e-68	Inf
ENSG00000001630	0.694377564042441	3.75718726981947e-31	9.39069738272612e-31	Inf
ENSG00000001631	0.101947489469993	7.19674835206063e-06	9.51893773624468e-06	11.562217778729
ENSG00000002016	-0.0617261349902515	0.0289569122223042	0.0328620313239478	3.38202323406771
ENSG00000002330	0.366623440938315	2.87781645959394e-22	5.89408736892071e-22	Inf
ENSG00000002549	0.0640438919836316	0.0307439613100808	0.0348300012525132	3.32182512999034
ENSG00000002586	-0.0735914666385885	0.0373687194650786	0.0421045341380622	3.12458322083224
ENSG00000002587	-0.808203361063278	3.52504389804553e-29	8.42355710422832e-29	Inf
ENSG00000002726	0.452548120677571	0.00151147219229509	0.00182172108512609	6.30615019113464
ENSG00000002746	-0.730975795350545	2.32318654220134e-11	3.62268929237473e-11	24.0412188931085
ENSG00000002822	0.531579312772034	4.801412969014e-58	2.2696163067769e-57	Inf
ENSG00000002834	0.64260881082005	5.24283758528789e-55	2.30302977873921e-54	Inf
ENSG00000002919	-0.042936376677623	0.113010749104956	0.123301491221554	1.96153065329313
ENSG00000002933	-0.669064069502519	3.52207439730556e-13	5.76093398424688e-13	28.1825042903088
ENSG00000003056	-0.0599914821021215	0.0294500327108641	0.0334085565841404	3.36496385479579
ENSG00000003096	-3.12096134431783	3.26510393378905e-122	1.00125242240811e-120	Inf
ENSG00000003137	-2.28193276114813	4.0857050291979e-91	4.56300112597302e-90	Inf
ENSG00000003147	1.29793710533871	3.5880797235914e-79	2.90295505417898e-78	Inf
ENSG00000003249	0.853530503221593	8.88045349588799e-52	3.61246314952296e-51	Inf
ENSG00000003393	0.0808930892879558	0.000126250053269069	0.000159412306640191	8.74385716355052
ENSG00000003400	-1.24706466577358	1.37215080284791e-88	1.42063739058802e-87	Inf
ENSG00000003402	-0.996911746139992	3.81140093592779e-115	8.66031666351944e-114	Inf
ENSG00000003436	-2.02701098231485	3.96101723147597e-103	6.14488353787601e-102	Inf
ENSG00000003509	-0.13131512397283	3.30814265703692e-06	4.42042622026886e-06	12.3292700161587
ENSG00000003756	-0.167140797279938	1.3411514814951e-12	2.16456585004015e-12	26.8587846831125
ENSG00000003987	0.288289610614103	0.0041613757603247	0.00492169903210816	5.3091676258822
ENSG00000004059	0.399537736700457	7.87719863130496e-48	2.90705183553054e-47	Inf
