Gene	LFC	p.value	FDR	B
ENSG00000000003	-1.84771835843986	6.89890532030739e-56	2.66777332637267e-55	Inf
ENSG00000000419	0.485582551249144	1.73703387831859e-32	4.12161120570217e-32	Inf
ENSG00000000457	0.468015876585948	3.53118620607846e-29	7.82581368041335e-29	Inf
ENSG00000000460	2.19183266283548	8.64606934847063e-144	3.02278279588802e-142	Inf
ENSG00000000938	-1.09486691691608	2.54216218679649e-81	1.78444498019847e-80	Inf
ENSG00000000971	-2.02199174249278	5.04377543264937e-102	5.98881096080122e-101	Inf
ENSG00000001036	0.330024557963142	2.18468930528286e-11	3.25555369140988e-11	24.1480743655721
ENSG00000001084	0.00917250731952964	0.878235781111864	0.884407200710577	-2.03484392645192
ENSG00000001167	0.464934322583901	1.19030082956722e-30	2.71741549008769e-30	Inf
ENSG00000001460	-0.0549956916791174	0.144840168292402	0.156169293494057	1.68701125623234
ENSG00000001461	-0.390220674146196	3.59149555555512e-15	5.88179527846852e-15	32.766508656125
ENSG00000001497	0.397751987297368	4.08158942621745e-34	1.00079494079403e-33	Inf
ENSG00000001561	-0.294001402722089	2.89848989146986e-05	3.65920128121541e-05	10.2156439778665
ENSG00000001617	1.37668789597324	3.88561840420001e-89	3.34565382405657e-88	Inf
ENSG00000001629	0.741024785384727	4.19725604516785e-77	2.63676579851387e-76	Inf
ENSG00000001630	0.642572175563751	3.89414045257371e-25	7.93968008318804e-25	Inf
ENSG00000001631	0.11669885641653	1.60940010221867e-05	2.04894512090009e-05	10.7955798897674
ENSG00000002016	-0.0682200389345094	0.0567191307905459	0.0626107915697347	2.70616092064504
ENSG00000002330	0.238973620453404	2.28040315298308e-09	3.22487105386196e-09	19.5523728728384
ENSG00000002549	0.148768302874706	2.10565204099387e-05	2.66945849534424e-05	10.5310231289193
ENSG00000002586	-0.345551127522695	3.97267138039061e-13	6.18683511510369e-13	28.1111117821069
ENSG00000002587	-0.910208532480294	5.83788318268657e-31	1.34080484268812e-30	Inf
ENSG00000002726	0.889086737847147	1.87841842039104e-07	2.53031439895207e-07	15.1897518344818
ENSG00000002746	-1.02116929053162	5.82072430543082e-19	1.03627507499146e-18	Inf
ENSG00000002822	0.715775282984721	2.49218839804268e-69	1.31890072662778e-68	Inf
ENSG00000002834	0.695176935396224	3.93763892549114e-40	1.09392295216044e-39	Inf
ENSG00000002919	0.118764402344654	0.000745520028271094	0.000893414215035255	7.01956642445991
ENSG00000002933	-0.816187796270187	8.58613073127235e-13	1.32320758309664e-12	27.3509954283689
ENSG00000003056	-0.0944138209025636	0.00613078098973015	0.00707518131441192	4.94406187920583
ENSG00000003096	-3.50182186159314	4.6860028444379e-106	6.21109937457822e-105	Inf
ENSG00000003137	-2.74141154609831	1.28679761807809e-91	1.17795123278635e-90	Inf
ENSG00000003147	1.17036384457954	5.33458012514992e-54	1.98899311518341e-53	Inf
ENSG00000003249	1.43181832951799	2.15407925811823e-82	1.55269637360574e-81	Inf
ENSG00000003393	0.0979338144419934	0.000391454435839924	0.000473738420095908	7.65438139426611
ENSG00000003400	-1.74073369393485	3.00448708798478e-98	3.25744914692822e-97	Inf
ENSG00000003402	-1.31646957162478	3.3997885554789e-111	5.03154801145211e-110	Inf
ENSG00000003436	-2.47689217733761	8.38850385156647e-80	5.66566517720826e-79	Inf
ENSG00000003509	-0.191880510807096	5.1872802043913e-08	7.10453195291064e-08	16.4599477894421
ENSG00000003756	-0.516630435355205	2.74507514943824e-57	1.09575889997157e-56	Inf
ENSG00000003987	0.347231137378138	0.000711725648434177	0.000853834814375158	7.06491860913613
ENSG00000004059	0.49898086919324	1.85526481956768e-56	7.2634847169117e-56	Inf
ENSG00000004139	-0.634257904375656	6.7189557959504e-13	1.03921955749718e-12	27.5926000002044
ENSG00000004142	0.356089697595626	4.94608958071889e-27	1.04970235471151e-26	Inf
ENSG00000004399	-0.0905622932851967	0.0703360145197272	0.0772473992077192	2.48034791243222
ENSG00000004455	0.198768633079549	8.70009559284179e-13	1.34034256105154e-12	27.3380737363434
ENSG00000004478	1.72720513198184	6.26953251091169e-113	9.65374612371658e-112	Inf
ENSG00000004487	0.456466501824934	1.00947521054029e-44	3.08057014492098e-44	Inf
ENSG00000004534	-0.0609672586761047	0.0427029710039328	0.0473844527990588	3.00091723416338
ENSG00000004660	-0.11255158578431	0.0377089308173358	0.0419780852676602	3.12772295044497
ENSG00000004700	-0.19179175896765	1.16823661807469e-07	1.58354156302801e-07	15.6584316581261
ENSG00000004766	0.365086071802721	7.17551310763064e-26	1.48687726155828e-25	Inf
ENSG00000004777	0.372643606061668	7.18150254009286e-15	1.16713527695154e-14	32.0828402195196
ENSG00000004779	0.743979323446967	4.00987456626177e-88	3.35291302553858e-87	Inf
ENSG00000004838	1.87131858700734	3.30017379410415e-99	3.66309167913063e-98	Inf
ENSG00000004846	-4.17202321365512	2.2157151999617e-117	3.83615571821119e-116	Inf
ENSG00000004864	0.880415513637592	1.33440701474731e-68	6.94256187327553e-68	Inf
ENSG00000004866	0.718329628416558	1.36456829482269e-48	4.52272990594541e-48	Inf
ENSG00000004897	0.421383231806092	1.8245071763634e-25	3.74846229534192e-25	Inf
ENSG00000004948	-1.41273737390369	1.02845672316257e-19	1.86073532638189e-19	Inf
ENSG00000004961	0.189693241735011	2.17529131904759e-08	3.00545690644281e-08	17.3202511090265
ENSG00000004975	-0.338477562846653	2.91921121765097e-24	5.83439148913008e-24	Inf
ENSG00000005001	1.227743815795	1.18281906205176e-44	3.60044649929279e-44	Inf
ENSG00000005007	0.318483605861822	2.98485974051192e-27	6.36459338305386e-27	Inf
ENSG00000005020	-1.28781796072267	9.71265062465587e-56	3.73885386014013e-55	Inf
ENSG00000005022	0.421265033418899	7.36362089255208e-30	1.65524225498989e-29	Inf
ENSG00000005059	0.656825165763919	3.69165230333605e-24	7.3538364214817e-24	Inf
ENSG00000005075	0.563167734448188	9.27642255293448e-68	4.71940035258958e-67	Inf
ENSG00000005100	-0.105905169854154	0.00072197144238925	0.000865839312050875	7.05094500415562
ENSG00000005102	-4.59224689239225	1.40573459425518e-158	7.2407838139678e-157	Inf
ENSG00000005108	-1.27464609178146	1.1972169569451e-60	5.15422910018542e-60	Inf
ENSG00000005156	0.924387035511741	2.37027520707213e-81	1.66621482987674e-80	Inf
ENSG00000005175	0.729500717245394	4.67235687047885e-85	3.57629261466477e-84	Inf
ENSG00000005189	1.08702910261549	1.24562895132477e-57	4.99840128679642e-57	Inf
ENSG00000005194	0.182212283754696	8.76589134070784e-09	1.22256225925424e-08	18.2197318601559
ENSG00000005206	0.132858598731145	1.1191023797533e-05	1.43280741658994e-05	11.153275388751
ENSG00000005238	-0.10756652023766	0.00281090739213751	0.00329593920883006	5.71176272824704
ENSG00000005243	-1.52455951947952	1.49234738125037e-95	1.50839636845097e-94	Inf
ENSG00000005249	-1.9713652920527	7.47437203644941e-42	2.14523222001921e-41	Inf
ENSG00000005302	-0.574161603330625	9.31389450442261e-57	3.66927896181309e-56	Inf
ENSG00000005339	0.300034843580115	2.78121564889604e-29	6.17507521124732e-29	Inf
ENSG00000005379	-0.725099360305252	5.65530048435738e-16	9.42702052408024e-16	34.6573590279973
ENSG00000005381	-2.75557355235259	2.09563255313027e-73	1.21571886068166e-72	Inf
ENSG00000005436	-0.148876759819993	7.10278124811878e-07	9.40066347707309e-07	13.8773144414953
ENSG00000005448	0.941729208278015	5.39819725020497e-68	2.76090130740165e-67	Inf
ENSG00000005469	0.229034136800232	0.000411718897166069	0.00049780463767285	7.60480492315295
ENSG00000005471	0.515659730154664	9.17999102797362e-13	1.4135232993499e-12	27.2849267812737
ENSG00000005483	-0.352250292012272	6.51960520235112e-22	1.23854529070521e-21	Inf
ENSG00000005486	0.74736351046793	8.16543711836337e-67	4.07821038133856e-66	Inf
ENSG00000005513	-3.88095842432464	1.026719764517e-104	1.31278638441864e-103	Inf
ENSG00000005700	0.515988053608616	1.23826597952558e-42	3.60834745070529e-42	Inf
ENSG00000005801	0.0374563331733622	0.332163174915915	0.349069178373118	0.623133250386195
ENSG00000005810	-1.34693448797114	1.63708534751834e-74	9.76717779059373e-74	Inf
ENSG00000005812	-0.880237892487645	1.37514591640613e-66	6.83981511823449e-66	Inf
ENSG00000005844	0.675906140326457	3.00228480442128e-27	6.40080575330589e-27	Inf
ENSG00000005882	-0.628568890710669	1.21430179245712e-27	2.6103971697645e-27	Inf
ENSG00000005884	-0.573749373364444	8.50887559957102e-22	1.61200870979308e-21	Inf
ENSG00000005889	0.102471516610056	0.00406112611121788	0.00472513981782697	5.3501217888177
ENSG00000005893	0.0190692452879326	0.66992108906284	0.684825047185222	-0.776035509665508
ENSG00000005961	0.167347319431866	0.138043974531728	0.149119224372881	1.74152587005137
ENSG00000006007	0.29937577825471	3.67178226569432e-18	6.42240199560842e-18	Inf
ENSG00000006015	-0.0777230317966372	0.0988403644127272	0.107597430393337	2.11552057564825
ENSG00000006016	-0.96750510829647	1.4299766241684e-20	2.63527904993805e-20	Inf
ENSG00000006025	-0.547460585424706	2.05444430183231e-17	3.53243369264919e-17	Inf
ENSG00000006042	-1.03105995543888	2.51005548745237e-33	6.05912994085818e-33	Inf
ENSG00000006047	0.0494336560088066	0.676416554958813	0.691172129648702	-0.805604827181808
ENSG00000006062	-0.665946480626541	2.26706379552941e-47	7.32116942804387e-47	Inf
ENSG00000006118	1.48179328928053	2.55537562175075e-68	1.32094666961501e-67	Inf
ENSG00000006125	0.899500348197185	7.06270270208947e-57	2.79228513821478e-56	Inf
ENSG00000006194	0.528546126504489	1.41412578609952e-56	5.5484024472769e-56	Inf
ENSG00000006210	-4.19775772383734	7.07755448016856e-166	4.94881756260675e-164	Inf
ENSG00000006282	0.518908360142326	1.07278524959299e-15	1.77904373311285e-15	33.9642118474373
ENSG00000006327	0.228274748014207	1.85305643949154e-05	2.35314431524833e-05	10.6571494929386
ENSG00000006377	-1.41254512447775	7.48769336441495e-28	1.61491392872213e-27	Inf
ENSG00000006432	0.844372728680055	2.34764187746714e-34	5.78083847132687e-34	Inf
ENSG00000006451	0.263204513344395	7.41437183661093e-14	1.17477414300062e-13	29.7726649572587
ENSG00000006453	1.21877744795166	3.13468686623027e-70	1.68729853855772e-69	Inf
ENSG00000006459	-0.516603751293988	7.75129253358404e-20	1.40503704610013e-19	Inf
ENSG00000006468	-1.37296584817807	4.7364048024049e-86	3.7096711639615e-85	Inf
ENSG00000006530	0.540546028797149	5.55370878031586e-43	1.63051482527975e-42	Inf
ENSG00000006534	-0.150894536776337	0.0151407593572985	0.0171920727180935	4.04596531753717
ENSG00000006555	-1.42134353886347	1.43247196293287e-24	2.88327064267701e-24	Inf
ENSG00000006576	1.25389916773905	1.13511128111977e-91	1.04314924970968e-90	Inf
ENSG00000006607	0.484430237508009	1.24222704470794e-41	3.55125306045877e-41	Inf
ENSG00000006625	1.16935793561361	6.65739469876396e-53	2.42108369019873e-52	Inf
ENSG00000006634	1.35714522942769	2.88702520110593e-140	8.94792350338485e-139	Inf
ENSG00000006638	0.148809056255213	0.00144866727843507	0.00171826683504624	6.36471940547556
ENSG00000006652	-1.02116374002212	2.87232241265261e-68	1.48266742513316e-67	Inf
ENSG00000006695	0.34148193004238	2.53804095599118e-15	4.17165623404683e-15	33.0992144099507
ENSG00000006704	1.33289703654685	1.69010137567252e-129	3.99714498553662e-128	Inf
ENSG00000006712	0.165382139542175	4.74203786487118e-09	6.66177385772547e-09	18.8268800283019
ENSG00000006715	0.749173059078263	7.33528816553584e-53	2.66627224781431e-52	Inf
ENSG00000006740	-0.395864612360844	9.2441593731177e-05	0.000114486149368106	9.07494221580057
ENSG00000006744	-0.13980103538573	1.41647220519116e-06	1.85942487737502e-06	13.1952414643233
ENSG00000006756	0.144035446004174	0.0149817629276035	0.0170128696543333	4.05662593170204
ENSG00000006757	0.136391797829784	0.014253348737604	0.0162009556799184	4.106351419858
ENSG00000006788	-0.151128658726133	0.108458355601018	0.117810599547402	2.0133285263461
ENSG00000006831	0.611630049013998	3.14179874457167e-15	5.1552426061592e-15	32.908159173188
ENSG00000006837	0.555279410594342	5.90662258655802e-33	1.41403333307709e-32	Inf
ENSG00000007001	-0.591088618657377	5.41946031045415e-10	7.78573384948024e-10	20.973557808541
ENSG00000007047	0.890170339349241	2.11080709748493e-89	1.82726207709312e-88	Inf
ENSG00000007062	-4.59424325152042	2.44881099632883e-86	1.93155805781272e-85	Inf
ENSG00000007080	0.372777867001831	2.8027570180669e-28	6.1039881251129e-28	Inf
ENSG00000007129	-0.457973310397086	1.96529160979543e-07	2.64536694505524e-07	15.1452855989767
ENSG00000007168	-0.259851995856809	6.19440122544097e-18	1.0781356822635e-17	Inf
ENSG00000007171	-0.581288709126337	2.20958635156502e-09	3.1256404273409e-09	19.5836266394171
ENSG00000007202	-0.0858529519305397	0.0385239179406287	0.0428490884709644	3.10627669905741
ENSG00000007216	-3.06057204718708	7.20141000840727e-57	2.84479280736045e-56	Inf
ENSG00000007237	-1.32270370657498	6.74583037931397e-93	6.38999665642607e-92	Inf
ENSG00000007255	0.668512307672944	7.23264735781916e-60	3.0565062148051e-59	Inf
ENSG00000007312	-2.19279261258132	3.42604612776719e-104	4.33088136710063e-103	Inf
ENSG00000007341	0.296953736311508	3.51579359638854e-10	5.07860244651974e-10	21.400814905835
ENSG00000007350	-1.94913857291347	3.54629333047134e-71	1.94945118364004e-70	Inf
ENSG00000007372	-0.517116249768224	9.77205311535611e-15	1.58388238288538e-14	31.7739559394172
ENSG00000007376	0.914784827528852	2.37976554651455e-99	2.65367692760028e-98	Inf
ENSG00000007384	0.331007677803983	2.65612895629588e-23	5.20509213558443e-23	Inf
ENSG00000007392	0.445360444218602	5.00614196981532e-43	1.47184438088781e-42	Inf
ENSG00000007402	1.49051054986874	6.20257304689495e-60	2.62656647983492e-59	Inf
ENSG00000007516	0.398543027221572	4.132241155836e-05	5.18374575225952e-05	9.86734571302528
