gene_stable_id	hgnc_symbol	chromosome_scaffold_name	gene_start_bp	gene_end_bp	gene_percent_gc_content	gene_type
ENSG00000088766	CRLS1	20	6006090	6040053	39.36	protein_coding
ENSG00000086475	SEPHS1	10	13317424	13348298	45.78	protein_coding
ENSG00000174327	SLC16A13	17	7036075	7040121	55.87	protein_coding
ENSG00000173597	SULT1B1	4	69721162	69787961	37.28	protein_coding
ENSG00000133818	RRAS2	11	14277926	14364506	39.24	protein_coding
ENSG00000010319	SEMA3G	3	52433053	52445085	59.63	protein_coding
ENSG00000188338	SLC38A3	3	50205246	50221486	58.43	protein_coding
ENSG00000115386	REG1A	2	79120362	79123419	44.67	protein_coding
ENSG00000185972	CCIN	9	36169394	36171334	52.55	protein_coding
ENSG00000134571	MYBPC3	11	47331397	47352702	57.91	protein_coding
ENSG00000205022	PABPN1L	16	88863333	88866660	64.6	protein_coding
ENSG00000174564	IL20RB	3	136946230	137011085	41.89	protein_coding
ENSG00000225663	MCRIP1	17	81822361	81833302	59.8	protein_coding
ENSG00000142627	EPHA2	1	16124337	16156087	57.33	protein_coding
ENSG00000177125	ZBTB34	9	126860665	126885878	43.23	protein_coding
ENSG00000198373	WWP2	16	69762306	69941741	45.6	protein_coding
ENSG00000164107	HAND2	4	173524969	173530229	55.84	protein_coding
ENSG00000144401	METTL21A	2	207580631	207625928	40.9	protein_coding
ENSG00000277149	TYW1B	7	72558744	72828198	41.66	protein_coding
ENSG00000256525	POLG2	17	64477785	64497036	41.34	protein_coding
ENSG00000276581	SPATA31A5	9	60914374	60920650	52.99	protein_coding
ENSG00000256043	CTSO	4	155924118	155953917	38.31	protein_coding
ENSG00000181915	ADO	10	62804857	62808483	47.48	protein_coding
ENSG00000237515	SHISA9	16	12901620	13240413	43.22	protein_coding
ENSG00000152292	SH2D6	2	85418721	85437029	54.62	protein_coding
ENSG00000188064	WNT7B	22	45920362	45977129	60.2	protein_coding
ENSG00000005073	HOXA11	7	27181510	27185223	55.22	protein_coding
ENSG00000180071	ANKRD18A	9	38571358	38620660	36.89	protein_coding
ENSG00000196993	NPIPB9	16	28751787	28772807	46.03	protein_coding
ENSG00000177669	MBOAT4	8	30131824	30144686	45.33	protein_coding
ENSG00000148773	MKI67	10	128096659	128126385	43.51	protein_coding
ENSG00000034152	MAP2K3	17	21284672	21315240	56.97	protein_coding
ENSG00000100292	HMOX1	22	35380361	35394214	51.11	protein_coding
ENSG00000072163	LIMS2	2	127638381	127681786	56.36	protein_coding
ENSG00000157617	C2CD2	21	41885112	41953890	47.89	protein_coding
ENSG00000006757	PNPLA4	23	7898247	7927739	40.45	protein_coding
ENSG00000104671	DCTN6	8	30156297	30183640	41.56	protein_coding
