cytoband	8q24.21	1q21.3	19q12	10p15.1	3q26.31	12p13.33	13q34	11p13	1q44	17q25.3	8p11.21	11q13.3	17q12	15q26.3	5p15.1	9p23	6p21.1	7p11.2	12p13.2	20q13.13	6q23.3	2p16.1	6p22.3	Xp11.22	4q12	1p34.3	6q21	21q21.1	8p11.23	19p13.12	7q36.3	
q value	6.7242e-47	2.1519e-29	4.3323e-15	1.7295e-13	3.9217e-09	2.5881e-11	4.8893e-07	2.0325e-06	4.4393e-11	8.3816e-07	9.7554e-09	2.5791e-05	8.3915e-06	9.8909e-05	0.00050303	0.00072448	1.7493e-05	0.0094136	2.0593e-11	0.021102	5.7371e-05	0.050794	0.00021774	0.093765	0.0959	0.10719	0.0024113	0.1582	0.00014221	0.18873	0.23296	
residual q value	6.7242e-47	4.7665e-19	4.5454e-15	1.7295e-13	3.9217e-09	8.8367e-08	4.8893e-07	2.9494e-06	3.8472e-06	4.1413e-06	1.0505e-05	3.4961e-05	4.0679e-05	9.8909e-05	0.00050303	0.00072448	0.00078975	0.0094136	0.021102	0.021102	0.02879	0.050794	0.061403	0.093765	0.0959	0.10719	0.12663	0.1582	0.19255	0.19633	0.23296	
wide peak boundaries	chr8:127693005-127755944	chr1:150158231-150802972	chr19:29281868-30020509	chr10:5569464-5593627	chr3:168802943-179933132	chr12:1-1182100	chr13:110174957-114171818	chr11:34617738-34777062	chr1:233163724-248956422	chr17:78038076-83257441	chr8:42304910-42435368	chr11:70074912-70501940	chr17:39593867-39813895	chr15:100843979-101991189	chr5:14601941-15331172	chr9:12766642-14191535	chr6:41151780-42573473	chr7:54845136-56343875	chr12:11886820-12029878	chr20:50230806-50364869	chr6:134959125-135278607	chr2:50560335-66639634	chr6:7640102-23015116	chrX:53679930-54777845	chr4:54249591-58458987	chr1:37863789-38614758	chr6:106766611-106797757	chr21:1-18267259	chr8:38272061-38421098	chr19:15153128-15182987	chr7:156761424-159345973	
genes in wide peak	MYC	CTSK	CCNE1	[LOC105376382]	ACTL6A	NINJ2	ATP4B	EHF	ACTN2	ACTG1	IKBKB	CTTN	ERBB2	ALDH1A3	FAM105A	NFIB	BYSL	CCT6A	ETV6	LINC01270	MYB	ACYP2	BMP6	FGD1	IGFBP7	FHL3	MIR587	BAGE	FGFR1	NOTCH3	MNX1	
	CASC11	CTSS	URI1		ECT2	RAD52	COL4A1		ADSS	BIRC5	POLB	PPFIA1	GRB7	PCSK6	ANKH	MPDZ	CCND3	EGFR		LINC01272	HBS1L	EFEMP1	E2F3	HUWE1	KDR	INPP5B	LOC100422737	CBS	WHSC1L1	MIR6795	PTPRN2	
		ECM1	POP4		MECOM	KDM5A	COL4A2		CHML	ARHGDIA	SLC20A2	FADD	NEUROD2	SNRPA1	OTULIN	LURAP1L	GUCA1A	GBAS		LINC01271	MIR548A2	MDH1	EDN1	PHF8	KIT	POU3F1		CRYAA	LETM2		VIPR2	
		ENSA	PLEKHF1		GHSR	SLC6A12	F7		LYST	CD7	VDAC3	SHANK2	PNMT	CHSY1	LOC100130744	FLJ41200	GUCA1B	PHKG1			MIR3662	MEIS1	GCNT2	GNL3L	PDGFRA	SF3A3		CXADR			UBE3C	
		MCL1	C19orf12		NDUFB5	SLC6A13	F10		CHRM3	CSNK1D	DKK4	ANO1	TCAP	OR4F4	MIR4637	LINC00583	MDFI	PSPH				MTIF2	GMPR	FAM120C	POLR2B	UTP11		PWP2			DNAJB6	
		PRPF3	LOC284395		CLDN11	ERC1	GAS6		FH	SLC25A10		ANO1-AS2	STARD3	VIMP	LOC101929454	LURAP1L-AS1	PGC	SUMF2				OTX1	HIVEP1	WNK3	PPAT	LINC01343		HSPA13			NCAPG2	
		RPRD2	VSTM2B		PIK3CA	WNK1	ING1		GNG4	FASN		MIR548K	IKZF3	LRRK1	SNORD141A	SNORD137	TFEB	CHCHD2				PEX13	ID4	TSR2	REST	MIR3659		TPTE			WDR60	
		CA14			PLD1	CCDC77	LAMP1		HNRNPU	GAA			PPP1R1B	TM2D3			NCR2	MRPS17				RAB1A	JARID2	ITIH6	SPINK2			U2AF1			ESYT2	
		APH1A			PRKCI	B4GALNT3	GRK1		KCNK1	GCGR			MIEN1	TARSL2			MED20	LANCL2				REL	MAK		SRP72			NRIP1			LMBR1	
		PLEKHO1			SKIL	IQSEC3	SOX1		LGALS8	UTS2R			PGAP3	WASH3P			FRS3	VOPP1				RPS27A	NEDD9		CLOCK			C21orf33			NOM1	
		MRPS21			SLC2A2	LOC574538	TFDP1		MTR	GPS1			MIR4728	OR4F6			UBR2	SEPT14				SLC1A4	PRL		CEP135			BTG3			LINC00689	
		ADAMTSL4			TERC	FAM138D	CUL4A		NID1	FOXK2				OR4F15			USP49	ZNF713				SPTBN1	ATXN1		PAICS			ICOSLG			MIR153-2	
		GOLPH3L			SEC62	LOC100049716	PROZ		RGS7	LGALS3BP				OR4F13P			PRICKLE4	FKBP9P1				UGP2	SOX4		NMU			USP25			MNX1-AS1	
		C1orf54			TNFSF10	LOC100288778	ARHGEF7		RYR2	MAFG				FAM138E			TREM2	NUPR2				VRK2	TFAP2A		EXOC1			RBM11			MIR595	
		TARS2			USP13	LOC101929384	TUBGCP3		TARBP1	NPTX1				LOC100128108			TREM1	SNORA15				XPO1	TPMT		TMEM165			CYP4F29P			LOC100506585	
		ANP32E			KCNMB2	LOC102723544	RASA3		TBCE	P4HB				DDX11L9			MRPS10	EGFR-AS1				NRXN1	DEK		KIAA1211			SMIM11A			MIR5707	
		HORMAD1			NLGN1	LOC105369595	ATP11A		GPR137B	PDE6G				MIR1302-2			TRERF1	ELDR				USP34	GCM2		SRD5A3			CHODL-AS1			LOC101927914	
		CIART			TNIK		MCF2L		ZNF124	PYCR1				MIR1302-9			TREML2					SERTAD2	CD83		NOA1			C21orf91			LINC01022	
		ADAMTSL4-AS1			GPR160		TMCO3		KMO	PCYT2				MIR1302-10			FOXP4					ACTR2	EEF1E1		HOPX			SAMSN1				
