cytoband	11q23.1	8p21.3	13q14.2	1p36.21	6q21	3p14.3	10q26.12	14q24.3	17p12	16q24.2	15q11.2	9p23	22q11.1	19p13.3	4q34.3	2q23.1	9p21.3	21q21.1	2q37.1	20p12.1	11p15.4	17q12	6p25.3	21q11.2	7q36.1	17p13.3	12q24.33	13q34	22q13.32	1p21.2	
q value	9.7547e-16	1.0184e-09	1.7574e-08	1.3463e-08	7.5008e-08	3.5237e-06	0.00020276	0.00023212	4.6315e-06	0.00037618	0.00063357	8.0886e-06	0.0018912	0.0071294	0.0075046	0.0030984	2.1873e-05	0.00015364	0.0074015	0.050179	0.058164	0.069398	0.09991	0.00014235	0.12806	0.0016826	0.1877	0.050179	0.12463	0.02037	
residual q value	9.7547e-16	1.0184e-09	6.9583e-08	7.1244e-08	7.1244e-08	3.6257e-06	0.00019992	0.00023244	0.00033691	0.00035357	0.0006649	0.0014585	0.0027954	0.0074015	0.0075046	0.01104	0.021935	0.035155	0.038997	0.051792	0.058164	0.066917	0.10199	0.10199	0.12281	0.15256	0.19157	0.2052	0.21304	0.24058	
wide peak boundaries	chr11:103448232-128459387	chr8:19966857-26292544	chr13:43888849-49312195	chr1:1-28892404	chr6:84226646-115635030	chr3:44659340-80993959	chr10:103586228-133797422	chr14:61795808-100068620	chr17:11563879-12924844	chr16:76545295-90338345	chr15:1-40765596	chr9:8310705-10619051	chr22:1-17566146	chr19:390342-2106696	chr4:174976345-190214555	chr2:131751547-153873606	chr9:21555228-23507724	chr21:1-21723675	chr2:217989691-242193529	chr20:1-31258477	chr11:1-5342819	chr17:32993209-35148981	chr6:1-10400535	chr21:1-15781617	chr7:144409416-159345973	chr17:1-1921251	chr12:70920650-133275309	chr13:87679558-114364328	chr22:40520715-50818468	chr1:1-150623060	
genes in wide peak	ACAT1	ATP6V1B2	RCBTB2	hsa-mir-551a	hsa-mir-2113	ACY1	ACADSB	SERPINA3	DNAH9	AFG3L1P	ACTC1	PTPRD	IL17RA	ATP5D	AGA	ACVR2A	CDKN2A	BAGE	hsa-mir-1244-1	ADRA1D	AP2A2	ASIC2	BMP6	BAGE	hsa-mir-1975	ABR	ACACB	ATP4B	ACR	hsa-mir-551a	
	ACRV1	BMP1	CPB2	ALPL	AIM1	ALAS1	ADAM8	ACTN1	MAP2K4	APRT	APBA2	PTPRD-AS1	ANKRD62P1-PARP4P3	AZU1	SLC25A4	RND3	CDKN2B	CBS	AAMP	JAG1	RHOG	LIG3	BPHL	CBS	AOC1	CRK	ACADS	COL4A1	ACO2	ABCA4	
	APOA1	POLR3D	ESD	RERE	AMD1	AMT	ADD3	ACYP1	ZNF18	GAS8-AS1	NBEAP1	LOC105375972	POTEH	HCN2	CASP3	CACNB4	MTAP	CRYAA	AGXT	AVP	ART1	RAD51D	DSP	CRYAA	CDK5	MYO1C	ALDH2	COL4A2	ARSA	ACADM	
	APOA4	EGR3	MLNR	C1QA	PRDM1	APEH	ADRA2A	ARG2	MYOCD	CA5A	BUB1B		HSFY1P1	BSG	DCTD	CCNT2	CDKN2A-AS1	CXADR	ALPI	BFSP1	ASCL2	CCL1	SERPINB1	PWP2	DPP6	SERPINF1	APAF1	DCT	BIK	ADORA3	
	APOC3	DMTN	GTF2F2	C1QB	CCNC	ARF4	ADRB1	BDKRB1	LINC00670	CBFA2T3	CHRM5		CECR6	CDC34	F11	DARS	DMRTA1	NCAM2	ALPP	BMP2	CARS	CCL2	F13A1	HSPA13	EN2	PITPNA	ARL1	GPR183	TSPO	AGL	
	ARCN1	GFRA2	HTR2A	C1QC	CGA	RHOA	BNIP3	BDKRB2	MIR744	CDH13	CHRNA7		CECR5	CIRBP	ACSL1	GPR39	LINC01239	TMPRSS15	ALPPL2	ENTPD6	CD81	CCL7	FOXF2	TPTE	EZH2	SERPINF2	ASCL1	EFNB2	MPPED1	AK2	
	ATM	GNRH1	LCP1	CA6	CNR1	ERC2-IT1	CASP7	ZFP36L1	LOC100128006	CDH15	GABRA5		CECR3	CNN2	FAT1	HNMT	CDKN2B-AS1	PWP2	KIF1A	CDC25B	CD151	CCL8	FOXC1	U2AF1	GBX1	RPA1	ATP2A2	ERCC5	CHKB	AK4	
	FXYD2	LOXL2	RB1	CAPZB	EPHA7	CACNA1D	COL17A1	CALM1	MIR1269B	COX4I1	GABRB3		CECR2	CSNK1G2	FRG1	KIF5C		HSPA13	BCS1L	CENPB	CDKN1C	CCL11	GMDS	NRIP1	MNX1	YWHAE	ATP2B1	F7	CPT1B	ALPL	
	CXCR5	NEFM	TPT1	CASP9	FOXO3	SLC25A20	CTBP2	SERPINA6	LOC101928418	CYBA	GABRG3		CECR1	CFD	GPM6A	LCT		TPTE	BOK	CHGB	CTSD	CCL13	IRF4	C21orf33	HTR5A	DOC2B	BCL7A	F10	CYP2D7	ALX3	
	CASP1	NEFL	SUCLA2	RUNX3	FYN	CAMP	CYP2E1	ENTPD5		DPEP1	IPW		OR11H1	ARID3A	ING2	MCM6		U2AF1	CHRND	CSNK2A1	DRD4	CCT6B	NQO2	ICOSLG	INSIG1	SCARF1	BTG1	FGF14	CYP2D6	AMPD1	
	CASP4	NKX3-1	TSC22D1	TNFRSF8	GABRR1	CDC25A	DMBT1	FOXN3		FANCA	IVD		GAB4	EFNA2	IRF2	MGAT5		NRIP1	CHRNG	CST1	DUSP8	NLE1	SERPINB6	RBM11	KCNH2	RPH3AL	SCARB1	GPC5	CYB5R3	AMPD2	
	CASP5	PPP3CC	ITM2B	CDA	GABRR2	CISH	DOCK1	CHGA		FOXF1	MEIS2		CCT8L2	ELANE	KLKB1	NEB		C21orf33	COL4A3	CST2	HBB	FNDC8	SERPINB9	CYP4F29P	NOS3	PRPF8	CMKLR1	GAS6	TYMP	AMY1A	
	CBL	SFTPC	LPAR6	CDK11B	GPR6	CCR1	DUSP5	DIO2		FOXL1	TRPM1		XKR3	GAMT	MTNR1A	ORC4		BTG3	COL4A4	CST3	HBBP1	ZNF830	RREB1	SMIM11A	PTPRN2	TIMM22	COX6A1	GPR18	EP300	AMY1B	
	CD3D	SLC18A1	FNDC3A	CDC42	GRIK2	CCR3	ECHS1	DLST		FOXC2	NDN		TPTEP1	MKNK2	TLR3	TNFAIP6		ICOSLG	COL6A3	CST4	HBD	RFFL	SSR1	SAMSN1	RARRES2	GEMIN4	CRY1	ING1	FBLN1	AMY1C	
	CD3E	STC1	ZC3H13	CD52	HDAC2	CCR5	EMX2	EIF2S1		GALNS	OCA2		DUXAP8	GPX4	VEGFC	CXCR4		USP25	CRYBA2	CST5	HBE1	TMEM132E	TUBB2A	BAGE4	RHEB	GLOD4	CSRP2	IPO5	XRCC6	AMY2A	
	CD3G	ADAM7	LRCH1	RCC1	HTR1E	COL7A1	FGFR2	EML1		GAS8	PLCB2		CECR7	GZMM	SORBS2	KYNU		RBM11	CYP27A1	FKBP1A	HBG1	C17orf102	RIPK1	BAGE3	RNY1	INPP5K	DAO	LAMP1	MCHR1	AMY2B	
	CHEK1	TNFRSF10D	NUFIP1	CLCN6	LAMA4	DAG1	GFRA1	ERH		GCSH	RAD51		CECR5-AS1	PALM	FAM149A	NMI		CYP4F29P	DES	GNRH2	HBG2	AA06	PRPF4B	BAGE2	RNY3	MRM3	DCN	LIG4	NAGA	RHOC	
	CRYAB	TNFRSF10C	MED4	CLCNKA	MARCKS	DNASE1L3	PRLHR	ESR2		HSBP1	RYR3		POTEH-AS1	POLR2E	PDLIM3	ZEB2		SMIM11A	DTYMK	FOXA2	HRAS	RAD51L3-RFFL	CDYL	LINC00313	RNY4	VPS53	EPYC	PCCA	NDUFA6	RERE	
	DDX6	TNFRSF10B	NUDT15	CLCNKB	NT5E	DOCK3	GPR26	ESRRB		HSD17B2	SCG5		LOC100996342	POLRMT	CLDN22	STAM2		CHODL-AS1	EPHA4	IDH3B	IGF2	LOC101927239	LY86	ANKRD30BP2	RNY5	NXN	DTX1	DNAJC3	SNU13	ATP1A1	
	DDX10	TNFRSF10A	GPALPP1	CNR2	POU3F2	DUSP7	GRK5	FNTB		IRF8	SNRPN		BMS1P17	PRTN3	NEIL3	NXPH2		C21orf91	ACSL3	INSM1	INS		EEF1E1	LIPI	SHH	FAM57A	DUSP6	RAP2A	PMM1	ATP5F1	
