cytoband	8p23.2	10q23.31	13q14.2	19p13.3	1p36.21	5q11.2	9p21.3	15q15.1	2q37.3	4q35.2	11q25	11p15.5	7q36.1	3p14.2	18q23	16p13.3	6p25.3	19q13.43	12q13.13	9q34.3	10q26.3	5q21.3	6q25.3	6q26	4p16.3	20p13	12q23.1	14q24.1	16q12.2	16q23.1	4q31.3	15q11.2	2p25.1	14q32.2	3p25.2	22q11.21	22q13.31	13q12.11	9q21.11	20p12.1	4q22.1	
q value	9.4206e-29	1.0465e-28	1.9532e-27	1.0615e-23	2.0238e-15	1.4518e-16	1.1847e-13	1.9467e-17	8.2153e-12	1.1552e-13	6.8464e-10	3.227e-09	1.5632e-08	3.8557e-08	1.675e-06	1.2746e-05	3.1199e-05	3.6259e-05	3.0253e-06	9.5485e-05	9.1953e-09	6.1224e-12	1.3602e-09	1.345e-10	0.0023998	0.00015961	0.00099367	0.0012351	0.0076691	0.0092916	1.7213e-07	1.6362e-13	0.073769	0.013998	0.018426	0.034871	0.04436	0.00021751	0.022471	0.053007	0.046371	
residual q value	9.4206e-29	2.7813e-26	5.7883e-25	1.0615e-23	2.0238e-15	1.4014e-13	6.206e-13	1.6325e-12	8.2153e-12	4.0197e-10	6.8464e-10	3.21e-09	1.6316e-08	1.5519e-07	1.6619e-06	1.2199e-05	3.2203e-05	3.5016e-05	3.7369e-05	0.00017228	0.00019934	0.00030783	0.000642	0.0012064	0.0023487	0.0035411	0.0041742	0.0113	0.019617	0.039113	0.049445	0.049445	0.074443	0.091982	0.10619	0.10619	0.1209	0.13971	0.16064	0.19576	0.22114	
wide peak boundaries	chr8:2166023-6404670	chr10:87855381-88274281	chr13:48301193-48418673	chr19:1103803-1943799	chr1:7769227-21218107	chr5:58855345-60492158	chr9:21555228-22448738	chr15:37090961-43235037	chr2:235005539-242193529	chr4:186212671-190214555	chr11:132334762-135086622	chr11:1-748945	chr7:152120330-152438989	chr3:56466724-61561656	chr18:58625663-80373285	chr16:3714792-3948259	chr6:1-4618638	chr19:57946564-58617616	chr12:43805340-56312872	chr9:127800509-138394717	chr10:128316503-133797422	chr5:107006982-107859209	chr6:155944963-157531127	chr6:158198886-170805979	chr4:1-1221311	chr20:1-960668	chr12:98730223-100037494	chr14:67731791-69262860	chr16:31760997-58669482	chr16:78007373-79593873	chr4:152102251-152770325	chr15:1-41893283	chr2:1-26177213	chr14:89950128-107043718	chr3:11551540-11791998	chr22:1-21741481	chr22:43890216-50818468	chr13:1-42852369	chr9:38062431-68537321	chr20:13983383-16272335	chr4:81470366-113754710	
genes in wide peak	CSMD1	PTEN	LPAR6	ATP5D	RERE	PDE4D	CDKN2A	BUB1B	AGXT	F11	OPCML	DRD4	KMT2C	ARF4	BCL2	CREBBP	BPHL	A1BG	ASIC1	ABCA2	ADAM8	EFNA5	ARID1B	ACAT2	ATP5I	CSNK2A1	ANKS1B	ACTN1	hsa-mir-1826	CLEC3A	DKFZP434I0714	ACTC1	ACP1	hsa-mir-1185-2	VGLL4	ARVCF	ACR	PARP4	ALDH1B1	FLRT3	ADH1A	
	LOC101927815	KLLN		CIRBP	CA6	PART1	CDKN2B	CAPN3	KIF1A	FAT1	IGSF9B	HRAS		DNASE1L3	CDH7		SERPINB1	RPS5	ACVR1B	ABL1	BNIP3		TMEM242	CCR6	DGKQ	SOX12	FAM71C	ZFP36L1	ADCY7	WWOX	FBXW7	APBA2	ADCY3	SERPINA3		ATP6V1E1	ARSA	ALOX5AP	PGM5	MACROD2	ADH1B	
				EFNA2	CAPZB	MIR582	MTAP	EPB42	BOK	FRG1	NCAPD3	IRF7		FHIT	CYB5A		FOXF2	ZNF8	ACVRL1	ABO	CYP2E1		MIR1202	GPR31	GAK	TCF15	LOC101928937	RAD51B	AMFR		TMEM154	NBEAP1	APOB	AKT1		BID	CHKB	ATP12A	ZNF658	MACROD2-IT1	ADH1C	
				GAMT	CASP9		CDKN2A-AS1	GANC	COL6A3	KLKB1	ACAD8	PSMD13		FLNB	KDSR		FOXC1	MZF1	ADCY6	AK1	ECHS1		MIR3692	IGF2R	IDUA	RBCK1		DCAF5	BBS2		MIR3140	BUB1B	RHOB	BDKRB1		COMT	CPT1B	BRCA2	SPATA31A7	LOC613266	ADH4	
				GPX4	TNFRSF8		CDKN2B-AS1	GCHFR	DTYMK	MTNR1A	B3GAT1	RNH1		PDHB	GALR1		GMDS	ZNF132	AMHR2	ASS1	INPP5A		MIR4466	KIF25	MYL5	ANGPT4		ZFYVE26	CBLN1		MIR4453	CHRM5	DDX1	BDKRB2		CRKL	TYMP	CDK8	CNTNAP3	MACROD2-AS1	ADH5	
				RPS15	CDA			ITPKA	GBX2	ZFP42	THYN1	SCT		SLMAP	GRP		IRF4	ZNF135	AQP2	C8G	MGMT			LPA	PDE6B	TRIB3		EXD2	CES1		DEAR	CHRNA7	DNMT3A	CALM1		GGT3P	FBLN1	CDX2	ANKRD20A1		ADH6	
				STK11	CLCN6			IVD	GPC1	TRIML2	JAM3	RASSF7		ACOX2	LMAN1		NQO2	UBE2M	AQP5	CACNA1B	UTF1			MAS1	ZNF141	NRSN2		ACTN1-AS1	CETP			GABRA5	DTNB	SERPINA6		GP1BB	PPARA	ELF1	FAM201A		ADH7	
				TCF3	CLCNKA			LTK	GPR35	F11-AS1	GLB1L2	IFITM1		HESX1	MBP		SERPINB6	TRIM28	AQP6	KYAT1	GLRX3			MAP3K4	PCGF3	DEFB126		LOC100996664	CNGB1			GABRB3	E2F6	CHGA		GSC2	MAPK11	FGF9	CBWD5		ANK2	
				APC2	CLCNKB			PLCB2	HDLBP	LOC339975	VPS26B	IFITM3		RPP14	MC4R		SERPINB9	ZNF274	ARF3	ENTPD2	DPYSL4			AFDN	SPON2	FAM110A			CSNK2A2			GABRG3	FKBP1B	CKB		SERPIND1	MAPK12	FOXO1	ANKRD18A		ATOH1	
				UQCR11	CORT			RAD51	NDUFA10	TRIML1	GLB1L3	DEAF1		FAM107A	NFATC1		TUBB2A	SLC27A5	ATF1	CEL	TUBGCP2			PARK2	CPLX1	ZCCHC3			CYLD			GCHFR	HPCAL1	CRIP1		PI4KA	SBF1	FLT1	LOC286297		BMPR1B	
				SBNO2	DDOST			SPINT1	SEPT2	LINC01060	SPATA19	IFITM2		FAM208A	SERPINB2		RIPK1	ZNF324	ATP5G2	CELP	VENTX			PDCD2	SLC26A1	SCRT2			GNAO1			IPW	ID2	CRIP2		SEPT5	UPK3A	FLT3	FOXD4L3		CASP6	
