cytoband	11q25	17q21.31	8p22	19p13.3	6q27	11p15.5	6q15	9p23	2q37.3	3p14.2	17p12	13q14.2	12q24.21	1p36.31	14q24.3	15q13.1	19q13.32	9p21.3	10q26.3	9q21.12	1p13.3	16q24.2	18q23	5q12.3	18p11.31	17p11.2	4p16.3	3p12.2	4q35.2	8p11.21	8q24.3	1p36.32	7q36.1	13q11	21q21.3	1p36.23	7p22.3	2p24.1	22q13.32	21q11.2	
q value	1.1525e-07	5.6023e-07	2.4005e-06	0.00012871	5.2347e-05	0.00036707	3.2373e-05	0.00051774	0.0021041	9.7325e-05	0.00043615	0.00066841	0.0051615	1.1525e-07	0.020036	0.020532	0.021202	0.0062879	0.04728	0.051345	0.027476	0.054741	0.060868	0.062887	0.062072	0.015655	0.071787	0.00030638	0.077182	0.024416	0.092649	1.1525e-07	0.097119	0.0035652	0.027831	5.3138e-07	0.21105	0.23624	0.24166	0.019298	
residual q value	1.1525e-07	6.7137e-07	2.7128e-06	0.00013025	0.00036371	0.00036371	0.00052911	0.0013885	0.0021041	0.0025487	0.0035934	0.0038535	0.0052358	0.0073197	0.020612	0.020612	0.020814	0.04012	0.048738	0.05014	0.055306	0.055306	0.060541	0.062173	0.062173	0.06917	0.072781	0.080093	0.080093	0.082211	0.09445	0.096457	0.096457	0.10416	0.12498	0.17182	0.20624	0.23747	0.23747	0.27896	
wide peak boundaries	chr11:133532574-135086622	chr17:43026748-43184130	chr8:1-28022521	chr19:1-2080710	chr6:155944963-170805979	chr11:1-13388250	chr6:83198789-98836429	chr9:7799607-10619051	chr2:223834327-242193529	chr3:38949865-80993959	chr17:11563879-12552764	chr13:48259631-48490671	chr12:92184904-133275309	chr1:4781921-6415625	chr14:60168796-91583478	chr15:1-47804202	chr19:40381087-50796084	chr9:21865499-22448738	chr10:96983293-133797422	chr9:38619155-89007261	chr1:62686079-149906350	chr16:31760997-90338345	chr18:70650749-80373285	chr5:43175852-137619171	chr18:4453641-7569278	chr17:21289119-27128158	chr4:1-37455978	chr3:38949865-94059032	chr4:186284148-190214555	chr8:43028712-46841457	chr8:134710984-145138636	chr1:1-31513995	chr7:96100455-159345973	chr13:1-19347822	chr21:1-29551355	chr1:1-68474224	chr7:1-26198479	chr2:1-47529292	chr22:31488420-50818468	chr21:1-29537453	
genes in wide peak	IGSF9B	BRCA1	NAT1	ATP5D	ACAT2	ADM	hsa-mir-2113	PTPRD	hsa-mir-1244-1	ACY1	DNAH9	RB1	ACACB	RPL22	ACTN1	ACTC1	hsa-mir-220c	CDKN2A	hsa-mir-3158-1	ALDH1A1	ABCA4	hsa-mir-1826	CYB5A	hsa-mir-886	ZBTB14	KCNJ12	ADD1	ACY1	FAT1	FNTA	ADGRB1	hsa-mir-551a	hsa-mir-1975	TUBA3C	APP	hsa-mir-551a	ACTB	ACP1	ACR	APP	
	NCAPD3	NBR2	NAT2	AZU1	CCR6	AP2A2	CGA	PTPRD-AS1	AGXT	ALAS1	MAP2K4	LPAR6	ACADS	KCNAB2	ACYP1	APBA2	AP2A1	CDKN2B	ACADSB	ANXA1	ACADM	AARS	GALR1	hsa-mir-1244-2	EPB41L3	FAM27E5	ADRA2C	ALAS1	FRG1	POMK	CYC1	ALPL	hsa-mir-96	FAM230C	ATP5J	AK2	AHR	ADCY3	ACO2	ATP5J	
	ACAD8	LOC101929767	ADRA1A	HCN2	GPR31	AMPD3	CNR1	LOC105375972	ALPI	AMT	ZNF18	LINC00441	ALDH2	ACOT7	ARG2	B2M	APOC1	CDKN2A-AS1	ADAM8	APBA1	ADORA3	ADCY7	MBP	APC	ARHGAP28	FLJ36000	ATP5I	AMT	MTNR1A	HGSNAT	CYP11B1	RERE	AOC1	ANKRD20A9P	BACH1	AK4	CLK2P1	ALK	ADSL	BACH1	
	B3GAT1		ANGPT2	BSG	IGF2R	APBB1	EPHA7		ALPP	APEH	MIR744		APAF1	ICMT	ZFP36L1	NBEAP1	APOC1P1	CDKN2B-AS1	ADD3	KLF9	AGL	AP1G1	NFATC1	TRIM23	L3MBTL4	C17orf51	NKX3-2	APEH	ZFP42	POTEA	CYP11B2	C1QA	ACHE	LINC00442	BAGE	ALPL	DGKB	APOB	ARSA	BAGE	
	THYN1		ASAH1	CDC34	KIF25	RHOG	GABRR1		ALPPL2	ARF4			ARL1	CHD5	CALM1	BUB1B	APOC2		ADRA2A	CTSL	AK4	AFG3L1P	ZNF236	ARSB	LINC00526	KCNJ18	BST1	ARF4	TRIML2		EEF1D	C1QB	AKR1B1	ANKRD26P3	CBS	RERE	DFNA5	RHOB	ATF4	CBS	
	JAM3		ATP6V1B2	CIRBP	LPA	ARNTL	GABRR2		KIF1A	RHOA			ASCL1	LINC00337	ENTPD5	CAPN3	APOC4		ADRB1	CTSLP8	ALX3	AGRP	CTDP1	ALDH7A1	LAMA1	MTRNR2L1	CCKAR	RHOA	F11-AS1		GLI4	C1QC	ARF5	LINC00421	CRYAA	ATP6V0B	ETV1	BCYRN1	BIK	CRYAA	
	GLB1L2		BLK	CNN2	MAS1	ART1	HTR1E		BOK	ERC2-IT1			ATP2A2	NPHP4	FOXN3	CHRM5	APOE		ARL3	DAPK1	AMPD1	AMFR	ZNF516	BHMT	LINC00667	LOC105371703	CD38	ERC2-IT1	LOC339975		GML	CA6	ASNS	LINC00408	CXADR	ADGRB2	GNA12	ZFP36L2	TSPO	CXADR	
